Adj time,Itotal kA
-0.0502867,8.30651
-0.0395341,15.6531
-0.0269892,22.0984
-0.0180287,29.4352
-0.0144444,27.6329
-0.007276,36.7818
0.0034767,45.0393
0.0124373,52.3761
0.0213978,59.7128
0.032151,67.0594
0.041111,75.3071
0.050072,82.6439
0.060824,89.9904
0.067993,97.3174
0.076953,105.565
0.087706,112.912
0.094875,121.15
0.103835,129.397
0.112796,137.645
0.119964,145.883
0.128925,154.131
0.136093,162.369
0.143262,170.607
0.152222,177.943
0.161183,186.191
0.168351,193.518
0.177312,201.766
0.186272,209.103
0.193441,217.341
0.202401,225.588
0.211362,233.836
0.21853,242.074
0.227491,249.411
0.236452,257.658
0.245412,264.995
0.252581,273.233
0.259749,280.56
0.26871,288.808
0.27767,296.145
0.284839,304.383
0.293799,311.719
0.30276,319.967
0.309928,327.294
0.318889,334.631
0.327849,342.879
0.33681,350.215
0.345771,358.463
0.354731,365.8
0.363692,374.048
0.374444,382.305
0.383405,389.642
0.390573,396.058
0.401326,403.404
0.408495,411.642
0.417455,419.89
0.428208,427.237
0.435376,434.564
0.444337,441.9
0.45509,450.158
0.46405,457.495
0.474803,464.841
0.485556,472.188
0.490932,480.416
0.501685,486.851
0.512437,498.753
0.52319,506.099
0.530358,514.337
0.539319,520.763
0.550072,528.11
0.559032,536.357
0.567993,544.605
0.578746,551.952
0.585914,559.279
0.596667,565.714
0.605627,573.051
0.61638,580.398
0.625341,588.645
0.634301,595.982
0.645054,603.329
0.655806,610.675
0.664767,618.923
0.67552,626.27
0.686272,632.705
0.697025,639.141
0.707778,646.487
0.71853,653.834
0.729283,660.269
0.741828,666.715
0.754373,674.071
0.765125,681.418
0.77767,687.863
0.788423,694.299
0.800968,700.744
0.813513,707.189
0.824265,713.625
0.838602,720.08
0.851147,726.526
0.863692,732.971
0.876237,738.505
0.888781,744.951
0.903118,751.406
0.915663,756.94
0.93,762.484
0.94434,768.029
0.95867,773.573
0.97301,779.117
0.98735,784.661
1.00168,790.205
1.01602,795.75
1.03036,800.383
1.0429,805.917
1.05903,811.471
1.07337,816.105
1.08771,820.738
1.10384,825.381
1.11996,830.024
1.13609,833.756
1.15043,838.389
1.16656,842.121
1.18448,844.952
1.20061,848.684
1.21495,852.406
1.23287,855.237
1.249,858.058
1.26692,859.978
1.28484,860.987
1.30097,862.897
1.31889,863.906
1.33502,865.816
1.35294,866.825
1.37086,867.834
1.38699,868.833
1.40491,869.842
1.42104,869.019
1.43896,869.117
1.4533,864.641
1.46763,858.342
1.47659,851.104
1.48556,842.954
1.49272,834.794
1.49989,826.635
1.50885,818.485
1.51423,810.315
1.51961,801.235
1.52498,793.066
1.53215,784.906
1.5429,777.677
1.55366,769.537
1.5662,763.229
1.58233,759.673
1.59846,755.206
1.61459,753.473
1.63072,749.917
1.64864,748.193
1.66477,744.637
1.6809,741.992
1.69882,739.358
1.71495,735.802
1.73108,732.246
1.7472,728.69
1.76513,726.966
1.78125,724.322
1.79738,721.677
1.8153,720.864
1.83323,720.051
1.84935,718.317
1.86728,716.593
1.88341,713.037
1.90133,711.313
